Name,10 wickets in match,100s/50s,2001–2005,2001–2007,2006–,5 wickets in innings,allegiance,alma mater,awards,balls bowled,based in,batting,batting average,battles/wars,best bowling,born,bowling,bowling average,cabinet,catches/stumpings,cause of death,children,citizenship,civilian awards,commands,committees,competition,current team,date of birth,died,domestic partner,education,event(s),father,full name,known for,last odi,last test,matches,military awards,mother,national side,nationality,net worth,nickname(s),notable award(s),notable awards,occupation,odi debut (cap 60),other politicalaffiliations,parents,place of birth,playing position,political party,predecessor,profession,rank,relations,relatives,religion,residence,resting place,runs scored,salary,service/branch,sport,spouse(s),test debut (cap 107),top score,unit,website,wickets,years,years of service
NawabGhaibiSardarKhanChandio,,,,,,,,,,,,,,,, (1969-04-19) 19 april 1969 (age 49)qambar shahdadkot district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
NawabMuhammadTaimurTalpur,,,,,,,,,,,,,,,, (1979-07-25) 25 july 1979 (age 39)karachi,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
NawabMuhammadYousuf,,,,,,,,,,,,,,,, (1943-01-15) january 15| 1943 (age 75),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
NawabzadaMansoorAhmedKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NawabzadaTariqMagsi,,,,,,,,,,,,,,,, (1954-09-08) 8 september 1954 (age 64)jhal magsi district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,mir zulfiqar ali khan magsi (brother),,,,,,,,,,,,,,,
NawazSharif,,,,,,,,govt. college  university(b.a. arts| bba)university of the punjab(llb),,,,,,,,mian muhammad nawaz sharif (1949-12-25) 25 december 1949 (age 68)lahore| pakistan,,,,,,maryam hussain hassanasma,,,,,,,,,,,,,,,,,,,,, pakistan,₨1.6 billion (us$15 million) (2017)[1],,,,,,,,,,pakistan muslim league (before 1988) islami jamhoori ittehad 1988–1993pakistan muslim league (n) 1993–2018,,,,,see sharif family,,,,,,,,kulsoom nawaz(m. 1970; died 2018),,,,,,,
NazirAhmadChohan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NazirAhmadKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NazirAhmedAbbasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NeelumHayatMalik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NiazHussainKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NidaKhuhro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nisar ahmad khuhro[1],,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
NighatMirza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
NikhatShakeelKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
NisarAhmedCheema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,iftikhar cheema (brother),,,,,,,,,,,,,,,
NishatKhanDaha,,,,,,,,,,,,,,,, (1948-01-15) 15 january 1948 (age 70)khanewal,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
NoorAhmedBhurgri,,,,,,,,,,,,,,,, (1945-01-01) 1 january 1945 (age 73)mirpur khas district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
NoorAlamKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,₨3.2 billion (us$30 million)[1],,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
NoorUlAminWattoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
NoorulHassanTanvir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,₨1.25 billion (us$12 million)[1],,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
NusratSeherAbbasi,,,,,,,,,,,,,,,, (1969-01-29) 29 january 1969 (age 49)rohri,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (f),,,,,,,,,,,,,,,,,,,,
NuzhatSadiq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani  american (until 2012)[1],,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
Omaral-Bashir,,,,,,,"
 sudan
 egypt
",egyptian military academy,,,,,,"
first sudanese civil war
yom kippur war
second sudanese civil war
",,omar hassan ahmad al-bashir (1944-01-01) 1 january 1944 (age 74)hosh bannaga| anglo-egyptian sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national congress,,,field marshal,,,,,,,, sudanese army,,fatima khalidwidad babiker omer,,,,,,,1960–present
OmarOmari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
PakhtoonYarKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
PeerKhizerHayatShahKhagga,,,,,,,,,,,,,,,, (1984-10-11) 11 october 1984 (age 34)sahiwal,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
PervaizRashid,,,,,,,,gordon collegeba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan,,,,,,,,,,,pakistan muslim league (n)(1997–present),,,,,,,,,,,,,,,,,,,,
PervezKhattak,,,,,,,,aitchison collegegordon college,,,,,,,, (1950-01-01) 1 january 1950 (age 68)manki sharif| nwfp| pakistan,,,imran khan ministry,,,5,,,,,,,,,,,,,,,,,,,,, pakistani,₨129 million (us$1.2 million)[2],,,,politician,,,,,,pakistan tehreek-e-insaf,,,,,nafeesa inayatullah khan khattak (sister-in-law)  sajida begum (niece)[1],,,,,,,,,,,,,,,
PervezMusharraf,,,,,,, pakistan,forman christian collegepakistan military academycommand and staff collegenational defence universityroyal college of defense, nishan-e-imtiaz tamgha-e-basalat imtiazi sanad order of al-saud,,,,,indo-pakistani war of 1965indo-pakistani war of 1971siachen conflictkargil warcivil war in afghanistan (1996–2001)1999 pakistani coup d'état2001–2002 india-pakistan standoffwar in north-west pakistan,, (1943-08-11) 11 august 1943 (age 75)delhi| british india,,,,,,two,,,i corpsxii corpsspecial services groupdg military operations40th army division| okara,,,,,,,,,,,,,,,,,,pakistani,₨645 million (us$6.1 million) (2013)[1],"""cowboy""| ""mush""| ""palloo""[2]",,,,,pakistan muslim league (q),,,,all pakistan muslim league,,, general,,asim raza (son-in-law),,,,,, pakistan army,,sehba musharraf,,,regiment of artillery,,,,1961–2007
PirFidaMuhammad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
PirKashifAliChishty,,,,,,,,,,,,,,,, (1972-12-07) 7 december 1972 (age 45)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
PirMuhammadAshrafRasool,,,,,,,,,,,,,,,, (1965-04-07) 7 april 1965 (age 53)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
PirMujeebulHaq,,,,,,,,,,,,,,,, (1978-05-16) 16 may 1978 (age 40)dadu| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
QaiserAhmedSheikh,,,,,,,,,,,,,,,, (1946-09-12) 12 september 1946 (age 72),,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
QalandarKhanLodhi,,,,,,,,,,,,,,,, (1944-03-19) 19 march 1944 (age 74)abbottabad | abbottabad district,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan tehreek-e-insaf (pti)[2],,,,,,,,,,,,,,,,,,,,
QamarJavedBajwa,,,,,,, pakistan,,nishan-e-imtiaz (military)hilal-i-imtiaz (military)legion of merit of turkey order of the military merit (jordan),,,,,"dongo conflict in africa2014 indo-pakistani tensionswar in afghanistanwar in north-west pakistan
zarb-e-azb
radd-ul-fasaad
khyber–1
",, (1960-11-11) 11 november 1960 (age 58)[2]karachi| sindh| pakistan,,,,,,,,,16th chief of army staffins-gen. training and evaluation x corps in rawalpindigoc force command north| gilgitpakistan armed forces–africa command,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,general,,,,,,,, pakistan army,,,,,16th baloch regiment,,,,1978 – present
QasimAbbasKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,independent,,,,,,,,,,,,,,,,,,,,
QuratulainMarri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
RabiaAhmedButt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RabiaAzfarNizami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RabiaKhatoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
RabiaNaseemFarooqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RabiaNusrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RabistanKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RahatAfza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RahilaMagsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RaiHaiderAliKhan,,,,,,,,,,,,,,,, (1967-03-23) 23 march 1967 (age 51),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (nawaz),,,,,,,,,,,,,,,,,,,,
RaiMuhammadMurtazaIqbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RaisNabeelAhmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
RaiZahoorAhmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RajaAzharKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RajaPervaizAshraf,,,,,,,,university of sindh,,,,,,,, (1950-12-26) 26 december 1950 (age 67)sanghar| sind| pakistan,,,,,,4[2],,,,,,,,,,,,,,,,,,,,,,,,,,agriculturist| business,,,,,,pakistan peoples party,,,,,,,,,,,,,nusrat pervaiz ashraf[1],,,,,,,
RajaRashidHafeez,,,,,,,,,,,,,,,, (1976-10-24) 24 october 1976 (age 42)rawalpindi,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RajaRiazAhmadKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RajaSagheerAhmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RajaYasirHumayunSarfraz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RajaYawarKamalKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RajaZafarulHaq,,,,,,,,govt. college university(b.a. in phil.)punjab university(llb| msc in poly sci.),,,,,,,,raja muhammad zafar-ul-haq (1935-11-18) 18 november 1935 (age 83)matore| punjab| british india(now in punjab| pakistan),,,,,,r. muhammad ali(son), pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan muslim league (n),,lawyer| diplomat,,,,,,,,,,,,,,,,,,
RamzanKadyrov,,,,,,,russia,,  other awards,,,,,,,ramzan akhmadovich kadyrov (1976-10-05) 5 october 1976 (age 42)tsentaroy| chechen-ingush assr| russian sfsr| soviet union,,,,,,12 (6 sons (2 adopted)| 6 daughters)[4][5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,united russia,,,major general,,,,,,,,russian armed forces,,medni musaevna kadyrova,,,,,,,
RanaAbdulRauf,,,,,,,,,,,,,,,, (1953-03-11) 11 march 1953 (age 65),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaAbdulSattar,,,,,,,,,,,,,,,, (1982-03-02) 2 march 1982 (age 36),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaAnsar,,,,,,,,,,,,,,,, (1966-08-17) 17 august 1966 (age 52)hyderabad| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
RanaArifKamalNoon,,,,,,,,,,,,,,,,lodhran| pakistan ,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan ,,,,,,,,,,,,,,,,,,lahore| pakistan,,,,,,,,,,,,,
RanaBabarHussainAbid,,,,,,,,,,,,,,,, (1973-08-18) 18 august 1973 (age 45)mian channu,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaHamirSingh,,,,,,,,,,,,,,,,,,,,,,kanwar karni singh (son),,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,rana arjun singh (grandfather)rana chandra singh (father),,,,,,,,,,,,,,,,
RanaIradatSharifKhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaMahmood-ul-Hassan,,,,,,,,,,,,,,,, (1970-03-27) 27 march 1970 (age 48)multan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaMaqboolAhmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaMashhoodAhmadKhan,,,,,,,,,,,,,,,, (1966-08-26) 26 august 1966 (age 52)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaMubashirIqbal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaMuhammadAfzal,,,,,,,,,,,,,,,, (1961-04-10) 10 april 1961 (age 57)sialkot,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaMuhammadIshaq,,,,,,,,,,,,,,,, (1967-10-05) october 5| 1967 (age 51),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,rana muhammad iqbal khan (cousin)  phool muhammad khan (uncle),,,,,,,,,,,,,,,,
RanaMuhammadQasimNoon,,,,,,,,,,,,,,,, (1962-11-10) 10 november 1962 (age 56),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RanaMuhammadTariq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaMunawarHussain,,,,,,,,,,,,,,,, (1972-04-01) 1 april 1972 (age 46)sargodha,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaRiazAhmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RanaSanaullahKhan,,,,,,,,,,,,,,,, (1950-01-01) january 1| 1950 (age 68)faislabad| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,pakistan peoples party (until 1993),,,,pakistan muslim league (n) (1993–present),,,,iftikhar muhammad chaudhry (cousin)[1],,,,,,,,,,,,,,,,
RanaTanveerHussain,,,,,,,,punjab university(ba and ma)[2][1],,,,,,,, (1949-10-01) october 1| 1949 (age 69)[1][2][3]sheikhupura| punjab| pakistan,,,,,,, pakistan,,,,,,,,,,,,,,,,,,,,pakistan,,,,,,,,,,,pakistan muslim league (n),,,,,rana afzaal hussain (brother),,,,,,,,,,,,,,,
RangezAhmad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
RaoMuhammadAjmalKhan,,,,,,,,,,,,,,,, (1954-08-20) 20 august 1954 (age 64),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RazaRabbani,,,,,,,,university of karachi,nishan-e-imtiaz,,,,,,,mian raza rabbani (1953-07-23) 23 july 1953 (age 65)lahore| punjab| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
ReetaIshwar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (f),,,,,,,,,,,,,,,,,,,,
RehanaIsmail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida majlis-e-amal,,,,,,,,,,,,,,,,,,,,
RehmanMalik,,,,,,,,university of karachi,,,,,,,,abdul rehman malik (1951-12-12) 12 december 1951 (age 66)sialkot| punjab,,,,,,,,,,,,,,,,,,,,,,,,,,, pakistan (1951–2003; continued from 2013)  united kingdom (2003–2012),,,nishan-e-imtiaz (2012),,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
RiazFatyana,,,,,,,,,,,,,,,,january 18| 1958kamalia punjab| pakistan,,,,,,ehsan riaz fatyana,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,politician,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,ashifa riaz fatyana,,,,,,,
RiazHussainPirzada,,,,,,,,,,,,,,,, (1948-08-01) 1 august 1948 (age 70)bahawalpur| punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
RiazHussainShahSheerazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
SaadWaseemAkhtarSheikh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
SabaSadiq,,,,,,,,,,,,,,,, (1966-01-07) 7 january 1966 (age 52)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
SabrinaJavaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
Sachanand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
SadaqatAliAbbasi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
SadaqatHussain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,muttahida qaumi movement,,,,,,,,,,,,,,,,,,,,
SadiaJaved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
SadiaNadeemMalik,,,,,,,,,,,,,,,, (1967-04-01) 1 april 1967 (age 51)lahore,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
SadiqaSahibdad,,,,,,,,,,,,,,,, (1935-04-07) 7 april 1935 (age 83)amritsar| british india,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
SadiqSanjrani,,,,,,,,university of balochistan,,,,,,,, (1978-04-14) 14 april 1978 (age 40)nok kundi| balochistan| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,independent,,,,,,,,,,,,,,,,,,,,
SaeedAkbarKhan,,,,,,,,university of the punjab (ma) - 1985,,,,,,,,8 june 1955nawani| bhakkar district| punjab| pakistan[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician| agriculturist[1],,,ghulam akbar khan (father)[1],,,,,,,rashid akbar khan (brother)[1],,,,,,,,,,,,,,,,
SaeedGhani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
SahibzadaSanaullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
SahibzadaSibghatullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
SajidAliBanbhan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan peoples party,,,,,,,,,,,,,,,,,,,,
SajidHussain,,,,,,,,,,,,,,,, (1977-02-12) 12 february 1977 (age 41),,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,est. ₨1.44 billion (us$14 million) (2017)[1],,,,,,,,,,pakistan peoples party,,,,,sajjad hussain turi (brother),,,,,,,,,,,,,,,
SajjadHaiderNadeem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
SajjadHussainTuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,sajid hussain (brother),,,,,,,,,,,,,,,
SaleemAhmed,,,,,,,,,,,,,,,, (1967-01-01) 1 january 1967 (age 51),,,,,,2 (daughter & son),,,,,,,,,,,,,,,,,,,,,indian,,,,,,,,mr. azeez ahmed and mrs. rahmath jahan,,,indian national congress,,politician,,,,,,,,,,,asma ahmed,,,,,,,
SaleemMandviwalla,,,,,,,,fort worth school of aviation,,,,,,,, (1959-01-25) 25 january 1959 (age 59)karachi| pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistan peoples party,,,,mehmood mandviwalla (cousin)[1],,,,,,,,,,,,,,,,
SaleemSarwarJaura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan tehreek-e-insaf,,,,,,,,,,,,,,,,,,,,
SaleemZia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
SalmaSaadiaTaimoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,pakistan muslim league (n),,,,,,,,,,,,,,,,,,,,
