Name,1969–1972,1972–1988,1974–1986,1980–1992,1983–1985,1984–1999,1985–1988,1988–1990,1990–1992,1991,1992–1995,1993–1996,1995,1995–1998,1995–2000,1997–1998,1997–1999,2000–2001,2000–2003,2002–2004,2003–2004,2004–2008,2005–2006,2006,2006–2008,2008–2010,2010–2018,2011–2012,2018–,allegiance,alma mater,awards,battles/wars,born,cabinet,children,citizenship,combined total,commands,country represented,current team,date of birth,denomination,died,domestic partner,education,ethnicity,father,former choreographer,former coach,free skate,full name,height,house,known for,mother,nationality,net worth,nickname(s),number,occupation,ordination,other politicalaffiliations,parents,place of birth,playing position,political party,positions,previous post,previous post,profession,rank,relations,relatives,religion,residence,resting place,retired,salary,service/branch,short program,skating club,spouse(s),total,unit,website,years,years of service,years active
RichardFerrand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of toulouseparis descartes university,,, (1962-07-01) 1 july 1962 (age 56)rodez| france,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,socialist party (1980–2017)la république en marche (2016–present),,,,,,,,,,,,,,,,,,,,,,
RichardLeonard(Scottishpolitician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of stirling,,,1962 (age 55–56)yorkshire| england,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,labour,,,,,,,,,,,,,,,,,,,,,,
RikhiThakral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1963-04-23) april 23| 1963 (age 55)singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,businessman and philanthropist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RobinSwann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,open university,,, (1971-09-24) 24 september 1971 (age 47)kells| county antrim| northern ireland,,2,,,,,,,,,,,,,,,,,,,,,british,,,,,,,,,,ulster unionist party,,,,,,,,,kells| county antrim,,,,,,,jennifer swann,,,robin swann official website,,,
RonNirenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ronald adrian nirenberg (1977-04-11) april 11| 1977 (age 41)[1],,jonah[2],,,,,,,,,,,,,,,,,,,,,american,,,,,,,,,,nonpartisan,,,,,,,,,,,,,,,,erika prosper,,,city websitecampaign website,,,
RonnyTong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hong kong (ll.b.)st edmund hall| oxford (b.c.l.),,, (1950-08-28) 28 august 1950 (age 68)british hong kong,,,,,,,,,,,,,,,,,,,,,,,chinese (hong kong),,,,,,civic party (2006–15),,,,path of democracy (since 2015),,,,senior counsel,,,,,tai po| hong kong,,,,,,,daisy tong yeung wai-lan,,,,,,
RosaDeLauro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1943-03-02) march 2| 1943 (age 75)new haven| connecticut| u.s.,,3,,,,,,,,,,fordham university (ba)london school of economics(ma)columbia university (ma),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,stan greenberg (m. 1978),,,,,,
RosieWinterton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of hull,,,rosalie winterton (1958-08-10) 10 august 1958 (age 60)leicester| england,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,labour,,,,,,,,,,,,,,,,,,,,,,
RosySenanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1958-01-05) 5 january 1958 (age 60)colombo| dominion of ceylon,,kanishka thisakya radhya,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politician,,,,,,united national party,,,,activist,,,,,,,,,,,,athula senanayake,,,,,,
RuthDavidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, united kingdom,university of edinburghuniversity of glasgow,,,ruth elizabeth davidson (1978-11-10) 10 november 1978 (age 40)edinburgh| scotland,,1,,,,,,,,,jen wilson,,,,,,,,,,,,,,,,,,,,,,scottish conservatives,,,,,signaller,,,,,,,, territorial army,,,,,32 signal regiment,,,2003–06,
RuwanWijewardene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s. thomas' preparatory school| colombo| sri lanka  university of sussex| united kingdom,,, (1975-08-04) august 4| 1975 (age 43),,,,,,,,,,,,,,,,,,,,,,, sri lankan,,,,politics,,,ranjith wijewardene  ranjani wijewardene(née senanayake),,,united national party,,,,,,,,,50/9| siripa road| colombo 05. sri lanka.,,,,,,,,,,official website,,,
SalimJreissati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,american university of beirut,,, (1952-04-04) 4 april 1952 (age 66),,,,,,,,,,,,,,,,,,,,,,,lebanese,,,,,,,,,,free patriotic movement,,,,,,,,,,,,,,,,,,,,,,
SamLiccardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,georgetown university (ba)  harvard university (mpp| jd),,,samuel theodore liccardo (1970-04-16) april 16| 1970 (age 48)saratoga| california| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,jessica garcia-kohl,,,official website,,,
SanderDekker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,leiden university (m.a. in public administration),,,sander dekker (1975-02-09) 9 february 1975 (age 43)the hague| netherlands,,,,,,,,,,,,,,,,,,,,,,,dutch,,,,politician| civil servant| academic,,,,,,people's party for freedom and democracy,,,,,,,,,the hague| netherlands,,,,,,,,,,,,,
SarathAmunugama(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1939-07-10) july 10| 1939 (age 79),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,civil servant,,united people's freedom alliance,,,,sri lanka freedom party  united national party,,,,,,,,,50/1| siripa road| colombo 05| sri lanka.,,,,,,,,,,,,,
SarwarDanish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,muhammad sarwar1961 (age 56–57)ishtarlay district| daykundi| afghanistan,,,,,,,,,,,,,hazara,,,,,,,,,,afghan,,,,,,,,,,hezbe wahdat,,,,,,,,,kabul| afghanistan,,,,,,,,,,,,,
SayedAshrafulIslam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1952 (age 65–66)mymensingh| east bengal| dominion of pakistan,,,,,,,,,,,,,,syed nazrul islam,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,sheila thakur,,,,,,
S.B.Dissanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of sri jayewardenepura,,, (1951-09-18) 18 september 1951 (age 67),,narada| tharaka,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politics,,communist party united national party,,,,sri lanka freedom party,,,,,,,,,madanwala| hanguranketha| sri lanka.,,,,,,,thamara née samarakoon,,,,,,
S.B.Nawinne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1946-02-24) 24 february 1946 (age 72),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,united people's freedom alliance (2004-2015),,,,united national party (2015-present)sri lanka freedom party (1989-2015),,,,,,,,,wariyapola,,,,,,,,,,sbnawinne.lk,,,
ShamshurRahamanSherif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
ShawnSawyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1985-01-14) january 14| 1985 (age 33)edmundston| new brunswick,,,,206.562008 skate canada,, canada,,,,,,,,,david wilson| brian orser,annie barabé| sophie richard| yvan desjardins| gordon forbes| alexei chetverukhin,143.982010 four continents,,1.64 m (5 ft 5 in),,,,,,,,,,,,,,,,,,,,,,,sainte-julie| quebec,,2011.0,,,70.152010 nhk trophy,c.p.a. varennes,,,,,,,
SheikhHasina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eden mohila collegeuniversity of dhaka,,, (1947-09-28) 28 september 1947 (age 71)tungipara| gopalganj district| east bengal| dominion of pakistan(now bangladesh),,sajeebsaima,,,,,,,,,,,,,,,,,,,,,,,,,,,grand alliance (2008–present),mujibur rahman (father)fazilatunnesa mujib (mother),,,awami league (1980-present),,,,,,,see sheikh-wazed family,,,,,,,,,wazed miah(m. 1968; died 2009),,,,,,
SheikhTayeburRahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21 october 1936bagerhat| east bengal| british raj,,,,,,,,,,17 october 2015khulna| bangladesh,,,,,,,,,,,,,,,,,,,,,,,bangladesh nationalist party,,,,,,,,,,,,,,,,,,,,,,
ShirinSharminChaudhury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of essexuniversity of dhaka,,, (1966-10-06) october 6| 1966 (age 52)chatkhil upazila| noakhali| bangladesh,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,dhaka| bangladesh,,,,,,,syed ishtiaque hossain,,,,,,
SicilyKariuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of nairobi(bachelor's degree)eastern and southern african management institute(master of business administration)michigan state university(postgraduate diploma in law and regulation),,,"tumaini village| al-kalou constituency| nyandarua county| republic of kenya
kenya",,,,,,,,,,,,,,,,,,,,,,,kenyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiegfriedBracke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1953-02-21) 21 february 1953 (age 65)ghent| belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new flemish alliance,,,,,,,,,,,,,,,,,,,party website,,,
SigridKaag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sigrid agnes maria kaag (1961-11-02) 2 november 1961 (age 57)rijswijk| netherlands,,4,,,,,,,,,,leiden universityamerican university cairo (ba)st antony's college| oxford (mphil)university of exeter (ma)netherlands institute of international relations clingendael (mia),,,,,,,,,,,,,,,,,,,,,democrats 66,,,,,,,,,,,,,,,,anis al-qaq (m. 1996),,,(in english) government website,,,
SimonettaSommaruga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lucerne universityuniversity of fribourg,,, (1960-05-14) 14 may 1960 (age 58)zug| switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,social democratic party,,,,,,,,,,,,,,,,lukas hartmann,,,,,,
S.Iswaran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of adelaide|harvard university,,, (1962-06-14) 14 june 1962 (age 56)colony of singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party,,,,,,,,,,,,,,,,,,,,,,
SlyJames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rockhurst college (ba)syracuse universityuniversity of minnesota (jd),,,sylvester james| jr. (1951-12-09) december 9| 1951 (age 66)kansas city| missouri| u.s.,,ericmalikkyleaja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,kansas city| missouri,,,,,,,licia clifton,,,www.kcmayor.org,,,
S.M.Chandrasena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1955-05-03) may 3| 1955 (age 63),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,agriculturist,,united people's freedom alliance,,,,sri lanka freedom party,,,,,,,,,,,,,,,,,,,,,,
SophiaChan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of manchester harvard universityuniversity of hong kong,,,1958 (age 59–60),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
StefBlok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stephanus abraham blok (1964-12-10) 10 december 1964 (age 53)emmeloord| netherlands,,1 son,,,,,,,,,,university of groningen (bba| mba),,,,,,,,,,,,,,,,,,,,,people's party for freedom and democracy,,,,,,,,,,,,,,,,,,,(in english) government website,,,
StenyHoyer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,steny hamilton hoyer (1939-06-14) june 14| 1939 (age 79)new york city| new york| u.s.,,3,,,,,,,,,,university of maryland| college park (ba)georgetown university (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,judith hoyer(m. 1972; died 1997),,,house websiteparty website,,,
SteveAdler(lawyer),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,princeton university (a.b.)university of texas (j.d.),,,stephen ira adler (1956-03-23) march 23| 1956 (age 62)washington| d.c.| u.s.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,attorney,,,,,austin| texas| u.s,,,,,,,diane land,,,adlerforaustin,,,
SteveScalise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stephen joseph scalise (1965-10-06) october 6| 1965 (age 53)new orleans| louisiana| u.s.,,2,,,,,,,,,,louisiana state university (bs),,,,,,,,,,,,,,,,,,,,,republican,,,,,,,,,,,,,,,,jennifer letulle (m. 2005),,,house websiteparty website,,,
SteveStivers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, united states,, bronze star meritorious service army commendation medal reserve good conduct national defense service medal,,steven ernst stivers (1965-03-24) march 24| 1965 (age 53)ripley| ohio| u.s.,,,,,371st sustainment brigade,,,,,,,ohio state university (ba| mba)united states army war college (ma),,,,,,,,,,,,,,,,,,,,,republican,,,,, brigadier general,,,,,,,, united states army,,,karen stivers,,,,,1985–present,
SuhailAlMazroui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SusilPremajayantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st. john's college| nugegoda,,, (1955-01-10) january 10| 1955 (age 63)sri lanka,,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,politician,,united people's freedom alliance   (2004 - present)   people's alliance   (before 2004) ,,,,sri lanka freedom party,,,,attorney at law,,,,,,,,,,,,,,,,,,
SvenJürgenson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1962-04-02) 2 april 1962 (age 56)tartu,,,,,,,,,,,,,,,,,,,,,,,estonia,,,,,,,,,,,,,,diplomat,,,,,,,,,,,,,,,,,,
SyedKhawarAliShah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pakistani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SylvesterTurner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1954-09-27) september 27| 1954 (age 64)houston| texas| u.s.,,1,,,,,,,,,,university of houston (ba)harvard university (jd),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,cheryl turner(m. 1983; div. 1991),,,official website,,,
TalalArslan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1965-06-12) 12 june 1965 (age 53)choueifat| lebanon,,prince majid  princess kinda,,,,,,,,,,,,,,,,,,,,,lebanese,,,,,,,emir majid arslan ii  khawla rashid jumblatt,,,lebanese democratic party,,,,,,,,,,,,,,,,zeina kheireddine,,,,,,
TalukderAbdulKhaleque,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 june| 1952bagerhat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bangladesh awami league,,,,,,,,,,,,,,,,,,,,,,
TanChuan-Jin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, singapore,"
national university of singapore
king's college london
london school of economics
",,, (1969-01-10) 10 january 1969 (age 49)singapore,,,,,"
7th singapore infantry brigade
3rd singapore division
tradoc
",,,,,,,,,,,,,,,,,,singaporean,,,,,,,,,,people's action party,,,,,brigadier-general,,,,,,,,singapore army,,,,,,,,1987–2011,
TedWheeler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,edward tevis wheeler (1962-08-31) august 31| 1962 (age 56)portland| oregon| u.s.,,,,,,,,,,,,stanford university (ba)columbia university (mba)harvard university (mpp),,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,katrina maley,,,government website,,,
TeoCheeHean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of manchesterimperial college londonharvard university,,, (1954-12-27) 27 december 1954 (age 63)singapore,,2,,,chief of navy (1991-92),,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party (1992),,,,,rear-admiral,,,,,,,, republic of singapore navy,,,chew poh yim,,,,,1972–1992,
TeoHoPin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national university of singapore|heriot-watt university,,, (1960-01-19) 19 january 1960 (age 58)singapore,,,,,,,,,,,,,,,,,,,,,,,singaporean,,,,politician,,,,,,people's action party,,,,,,,,,,,,,,,,,,,,,,
TeresaCheng(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,king's college london (bsc)university of london (llb),,, (1958-11-11) 11 november 1958 (age 60)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,arbitrator| barrister| engineer| politician,,,,,villa de mer| siu lam19 severn road| the peak,,,,,,,otto poon,,,,,,
TharmanShanmugaratnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anglo-chinese school| london school of economics|wolfson college| cambridge|harvard university,,, (1957-02-25) 25 february 1957 (age 61)singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's action party (2001),,,,,,,,,,,,,,,,jane yumiko ittogi,,,,,,
TheldaWilliams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1941-06-30) june 30| 1941 (age 77),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,
TheoFrancken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1978-02-07) 7 february 1978 (age 40)lubbeek| flemish brabant,,,,,,,,,,,,,,,,,,,,,,,belgian,,,,,,,,,,new flemish alliance (nva),,,,,,,,,linden,,,,,,,,,,http://www.n-va.be/cv/theo-francken,,,
TheresaMay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,st hugh's college| oxford,,,theresa mary brasier (1956-10-01) 1 october 1956 (age 62)eastbourne| sussex| england,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
hubert brasier
zaidee mary barnes
",,,conservative,,,,,,,,,10 downing street (official),,,,,,,philip may (m. 1980),,,www.tmay.co.uk,,,
TofailAhmed(politician),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1943-10-22) 22 october 1943 (age 75)bhola,,,,,,,,,,,,,,,,,,,,,,,bangladeshi,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TommyCheung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,diocesan boys' schoolpepperdine university (b.sc.| m.b.a.),,, (1949-09-30) 30 september 1949 (age 69)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,businessmanpolitician,,,,,,liberal party,,,,,,,,,,,,,,,,,,,,,,
UdayaGammanpila,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d. s. senanayake college  monash university,,, (1970-02-06) 6 february 1970 (age 48),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,united people's freedom alliance,,,,pivithuru hela urumaya  (2015 - present)  jathika hela urumaya  (2004 - 2015)   sihala urumaya  (2000 - 2004),,,,politician,,,,,,,,,,,,,,,http://udayagammanpila.com/,,,
UeliMaurer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1950-12-01) 1 december 1950 (age 67)wetzikon| switzerland,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,swiss people's party,,,,,,,,,,,,,,,,,,,,,,
UhuruKenyatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,amherst college,,, (1961-10-26) 26 october 1961 (age 57)nairobi| kenya colony,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,jubilee alliance (2013–present),,,,kenya african national union (before 2012)national alliance (2012–2016)jubilee (2016–present),,,,,,,jomo kenyatta (father),,,,,,,,,margaret gakuo (m. 1991),,,government website,,,
UrsulaPlassnik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of viennacollege of europe,,, (1956-05-23) 23 may 1956 (age 62)klagenfurt| austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,people's party,,,,,,,,,,,,,,,,,,,,,,
VasudevaNanayakkara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,richmond college galle,,, (1939-01-03) 3 january 1939 (age 79),,chiranjaya nanayakkara| sankajaya nanayakkara| tharushi nanayakkara,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,united people's freedom alliance  (2004 - present)   people's alliance  (1994 - 1999) ,,,,democratic left front  (1999 - present)   lanka sama samaja party  (1958 - 1977| 1994 - 1999)   nava sama samaja party  (1977 - 1994) ,,,,lawyer| trade unionist,,hemakumara nanayakkara,,,,,,,,,,wasanthi nanayakkara,,,,,,
ViLyles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,queens university of charlotte (ba)university of north carolina at chapel hill (mpa),,,viola alexander (1952-09-28) september 28| 1952 (age 66)columbia| south carolina| u.s.,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,democratic,,,,,,,,,,,,,,,,john lyles(m. 1996; died 2013),,,official website,,,
VivianBalakrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1961-01-25) 25 january 1961 (age 57)singapore,,4,,,,,,,,,,,,,,,,,,,,,singaporean,,,,,,,,,,people's action party,,,,,,,,,,,,,,,,joy balakrishnan,,,,,,
WaisBarmak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1972 (age 45–46)kabul| afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WallaceCosgrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cabinet minister,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WasanthaSenanayake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1973-06-28) june 28| 1973 (age 45),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WijeyadasaRajapakshe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1959-03-16) 16 march 1959 (age 59),,,,,,,,,,,,,,,,,,,,,,,sri lankan,,,,,,sri lanka freedom party,,,,united national party,,,,attorney-at-law,,,,,,,,,,,,,,,wijeyadasarajapakshe.com,,,
WilliamRuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of nairobi (bsc),,, (1966-12-21) 21 december 1966 (age 51)kamagut| rift valley province| kenya,,7,,,,,,,,,,,,,,,,,,,,,kenyan tribe kalenjin,,kirgit,,,,,,,,jubilee (2016–present)urp (2012–2016)odmkanu,,,,,,,,africa inland church[2],,,,,,,,rachel ruto,,,deputypresident.go.ke,,,
WillieRennie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of the west of scotlanduniversity of glasgow,,,william cowan rennie (1967-09-27) 27 september 1967 (age 51)fife| scotland| uk,,2 sons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scottish liberal democrats,,,,,,,,,,,,,,,,janet rennie (1992–present),,,,,,
WimalWeerawansa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1965-03-07) 7 march 1965 (age 53),,,sri lankan,,,,,,,,,,,,,,,,,,,,,,,,politician,,united people's freedom alliance,,,,national freedom front,,,,,,,,,,,,,,,,,,,wimalweerawansa.lk,,,
WongKam-sing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963 (age 54–55),,,,,,,,,,,,,,,,,,,,,,,chinese,,,,,,,,,,none,,,,,,,,,,,,,,,,,,,,,,
WongKwok-kin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,may 1952 (age 66)british hong kong,,,,,,,,,,,,,,,,,,,,,,,,,,,trade union worker,,,,,,hong kong federation of trade unions,,,,,,,,,sheung shui,,,,,,,,,,,,,
WopkeHoekstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wopke bastiaan hoekstra (1975-09-30) 30 september 1975 (age 43)bennekom| netherlands,,4,,,,,,,,,,leiden university (ba| llb| llm)european institute of business administration (bba| mba),,,,,,,,,,,,,,,,,,,,,christian democratic appeal,,,,,,,,,,,,,,,,liselot hoornweg (m. 2008),,,(in english) government website,,,
YusufbinAlawibinAbdullah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945 (age 72–73)salalah| oman,,,,,,,,,,,,,,,,,,,,,,,,,,,politician,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZakiNusseibeh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,university of cambridge,,,1946 (age 71–72)jerusalem| mandatory palestine,,"lana nusseibeh
dyala nusseibeh",,,,,,,,,,,,anwar nusseibeh,,,,,,,,,emirati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZuhalDemir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, (1980-03-02) 2 march 1980 (age 38)genk| limburg,,,turkish[1],,,,,,,,,,,,,,,,,,,,belgian,,,,,,,,,,n-va,,,,,,,,,genk,,,,,,,,,,http://www.n-va.be/cv/zuhal-demir,,,
